mc	mn	keysig	timesig	act_dur	mc_offset	volta	numbering_offset	dont_count	barline	breaks	repeats	markers	jump_bwd	jump_fwd	play_until	next
1	1	-2	3/4	3/4	0						firstMeasure					2
2	2	-2	3/4	3/4	0											3
3	3	-2	3/4	3/4	0											4
4	4	-2	3/4	3/4	0											5
5	5	-2	3/4	3/4	0					line						6
6	6	-2	3/4	3/4	0											7
7	7	-2	3/4	3/4	0											8
8	8	-2	3/4	3/4	0											9
9	9	-2	3/4	3/4	0						start					10
10	10	-2	3/4	3/4	0											11
11	11	-2	3/4	3/4	0					line						12
12	12	-2	3/4	3/4	0											13
13	13	-2	3/4	3/4	0											14
14	14	-2	3/4	3/4	0											15
15	15	-2	3/4	3/4	0											16, 17
16	16	-2	3/4	3/4	0	1					end					9
17	16	-2	3/4	3/4	0	2		1		line		fine				-1
18	17	-2	3/4	3/4	0											19
19	18	-2	3/4	3/4	0											20
20	19	-2	3/4	3/4	0											21
21	20	-2	3/4	3/4	0											22
22	21	-2	3/4	3/4	0					line						23
23	22	-2	3/4	3/4	0											24
24	23	-2	3/4	3/4	0											25
25	24	-2	3/4	3/4	0											26
26	25	-2	3/4	3/4	0						start					27
27	26	-2	3/4	3/4	0											28
28	27	-2	3/4	3/4	0					line						29
29	28	-2	3/4	3/4	0											30
30	29	-2	3/4	3/4	0											31
31	30	-2	3/4	3/4	0											32
32	31	-2	3/4	3/4	0											33
33	32	-2	3/4	3/4	0						end		start		fine	26, 1
